iter	Passed	Remaining
155	278	1504
156	278	1497
157	279	1489
158	280	1482
159	281	1475
160	281	1467
161	282	1460
162	283	1453
163	284	1448
164	285	1442
165	285	1436
166	286	1429
167	287	1422
168	288	1416
169	288	1410
170	289	1403
171	290	1398
172	291	1393
173	292	1387
174	293	1382
175	293	1376
176	294	1370
177	295	1364
178	296	1358
179	296	1352
180	297	1346
181	298	1341
182	299	1335
183	299	1329
184	300	1323
185	301	1318
186	301	1312
187	302	1307
188	303	1303
189	304	1298
190	305	1292
191	306	1288
192	307	1284
193	308	1279
194	308	1274
195	309	1269
196	310	1264
197	310	1259
198	311	1254
199	312	1249
200	313	1244
201	313	1239
202	314	1235
203	315	1230
204	316	1225
205	316	1220
206	317	1216
207	318	1212
208	319	1207
209	319	1202
210	320	1198
211	321	1194
212	322	1190
213	323	1186
214	323	1182
215	324	1178
216	325	1174
217	326	1170
218	326	1165
219	327	1161
220	328	1157
221	329	1153
222	330	1150
223	330	1146
224	331	1141
225	332	1137
226	332	1133
227	333	1129
228	334	1126
229	335	1121
230	335	1117
231	336	1113
232	337	1109
233	337	1106
234	338	1102
235	339	1098
236	339	1094
237	340	1090
238	341	1087
239	342	1083
240	342	1079
241	343	1075
242	344	1072
243	345	1069
244	345	1065
245	346	1062
246	347	1058
247	347	1054
248	348	1051
249	349	1047
250	349	1043
251	350	1040
252	351	1037
253	351	1033
254	352	1030
255	353	1026
256	353	1023
257	354	1019
258	355	1016
259	356	1013
260	356	1010
261	357	1006
262	358	1003
263	359	1001
264	360	998
265	360	995
266	361	992
267	362	989
268	363	986
269	363	983
270	364	980
271	365	978
272	366	975
273	367	974
274	368	971
275	369	968
276	369	965
277	370	962
278	371	959
279	371	956
280	373	954
281	374	952
282	375	950
283	375	947
284	376	944
285	377	941
286	377	938
287	378	936
288	380	935
289	381	933
290	382	931
291	383	929
292	383	926
293	384	923
294	385	920
295	385	917
296	386	915
297	388	914
298	389	913
299	390	910
300	391	908
301	391	905
302	392	902
303	393	900
304	394	898
305	395	896
306	396	894
307	396	891
308	397	889
309	398	886
310	399	884
311	399	881
312	400	879
313	401	876
314	402	874
315	403	873
316	404	870
317	404	868
318	405	865
319	406	864
320	407	861
321	407	858
322	408	856
323	409	854
324	410	852
325	410	849
326	411	847
327	412	845
328	413	843
329	414	840
330	414	838
331	415	836
332	416	834
333	417	832
334	418	830
335	418	827
336	419	825
337	420	822
338	420	820
339	421	818
340	422	816
341	423	814
342	423	811
343	424	809
344	425	807
345	426	805
346	426	803
347	427	801
348	428	798
349	428	796
350	429	794
351	430	792
352	431	790
353	431	787
354	432	785
355	433	783
356	433	781
357	434	779
358	435	776
359	435	774
360	436	772
361	437	770
362	437	768
363	438	766
364	439	764
365	440	762
366	441	761
367	441	758
368	442	756
369	443	754
370	444	752
371	444	750
372	445	749
373	446	747
374	447	746
375	448	743
376	448	741
377	449	739
378	450	737
379	450	735
380	451	733
381	452	731
382	453	729
383	453	728
384	455	727
385	456	725
386	457	724
387	457	722
388	458	720
389	459	718
390	459	716
391	460	714
392	461	712
393	462	710
394	462	709
395	463	707
396	464	705
397	465	703
398	465	701
399	466	699
400	467	697
401	467	695
402	468	694
403	469	693
404	470	691
405	471	689
406	471	687
407	472	685
408	473	684
409	474	682
410	474	680
411	475	678
412	476	677
413	477	675
414	478	674
415	478	672
416	479	670
417	480	669
418	481	667
419	481	665
420	482	663
421	483	662
422	484	660
423	485	658
424	485	657
425	486	655
426	487	653
427	487	651
428	488	649
429	488	648
430	489	646
431	490	644
432	490	642
433	491	641
434	492	639
435	493	637
436	493	635
437	494	634
438	495	632
439	495	631
440	496	629
441	497	628
442	498	626
443	499	625
444	499	623
445	500	621
446	501	620
447	502	618
448	502	617
449	503	615
450	504	613
451	504	612
452	505	610
453	506	608
454	507	607
455	507	606
456	508	604
457	509	602
458	510	601
459	511	599
460	511	598
461	512	597
462	513	595
463	514	594
464	515	593
465	516	592
466	517	590
467	518	588
468	518	587
469	519	585
470	520	584
471	520	582
472	521	581
473	522	580
474	523	578
475	524	577
476	525	575
477	525	574
478	526	572
479	527	571
480	528	570
481	529	568
482	530	567
483	530	566
484	531	564
485	532	563
486	533	561
487	534	560
488	534	558
489	535	557
490	536	556
491	537	554
492	538	553
493	539	552
494	539	550
495	540	549
496	541	547
497	542	547
498	544	546
499	545	545
500	545	543
501	546	542
502	547	540
503	547	539
504	548	537
505	549	536
506	550	535
507	551	533
508	551	532
509	552	531
510	553	529
511	554	528
512	555	526
513	555	525
514	556	524
515	557	522
516	558	521
517	559	520
518	559	518
519	560	517
520	561	516
521	561	514
522	562	513
523	563	511
524	564	510
525	565	509
526	566	508
527	567	507
528	567	505
529	568	504
530	569	502
531	569	501
532	570	499
533	571	498
534	571	496
535	572	495
536	573	494
537	574	493
538	574	491
539	575	490
540	576	489
541	577	487
542	577	486
543	578	484
544	579	484
545	580	482
546	581	481
547	582	480
548	582	478
549	583	477
550	584	476
551	584	474
552	585	473
553	586	472
554	587	471
555	588	469
556	589	468
557	589	467
558	590	465
559	591	464
560	591	463
561	592	461
562	593	460
563	594	459
564	594	458
565	595	456
566	596	455
567	596	454
568	597	452
569	598	451
570	598	449
571	599	448
572	600	447
573	601	446
574	601	444
575	602	443
576	603	442
577	604	441
578	604	439
579	605	438
580	606	437
581	606	435
582	607	434
583	608	433
584	608	432
585	609	430
586	610	429
587	611	428
588	612	427
589	613	426
590	613	424
591	614	423
592	615	422
593	616	421
594	616	419
595	617	418
596	618	417
597	618	416
598	619	414
599	620	413
600	621	412
601	621	411
602	622	409
603	623	408
604	624	407
605	624	406
606	625	405
607	626	403
608	627	402
609	627	401
610	628	400
611	629	398
612	629	397
613	630	396
614	631	395
615	632	394
616	632	392
617	633	391
618	634	390
619	634	388
620	635	387
621	636	386
622	636	385
623	637	384
624	638	382
625	638	381
626	639	380
627	640	379
628	641	378
629	642	377
630	642	375
631	643	374
632	644	373
633	645	372
634	645	371
635	646	370
636	647	368
637	648	367
638	648	366
639	649	365
640	650	364
641	650	362
642	651	361
643	652	360
644	652	359
645	653	358
646	654	357
647	655	355
648	655	354
649	656	353
650	657	352
651	657	351
652	658	349
653	659	348
654	660	347
655	660	346
656	661	345
657	662	344
658	663	343
659	664	342
660	664	341
661	665	339
662	666	338
663	667	337
664	668	336
665	669	335
666	670	334
667	671	333
668	671	332
669	672	331
670	673	330
671	673	328
672	674	327
673	675	326
674	676	325
675	677	324
676	677	323
677	678	322
678	679	321
679	679	319
680	680	318
681	681	317
682	681	316
683	683	315
684	683	314
685	684	313
686	685	312
687	685	310
688	686	309
689	687	308
690	687	307
691	688	306
692	689	305
693	689	304
694	690	303
695	691	302
696	692	301
697	693	299
698	693	298
699	694	297
700	695	296
701	696	295
702	697	294
703	698	293
704	699	292
705	700	291
706	701	290
707	701	289
708	702	288
709	703	287
710	703	286
711	704	285
712	705	284
713	706	282
714	707	281
715	707	280
716	708	279
717	709	278
718	709	277
719	710	276
720	711	275
721	712	274
722	712	273
723	713	272
724	714	270
725	715	269
726	715	268
727	716	267
728	717	266
729	717	265
730	718	264
731	719	263
732	719	262
733	720	261
734	721	260
735	722	259
736	722	257
737	723	256
738	724	255
739	724	254
740	725	253
741	725	252
742	726	251
743	727	250
744	728	249
745	728	248
746	729	247
747	730	246
748	731	244
749	731	243
750	732	242
751	733	241
752	734	240
753	734	239
754	735	238
755	736	237
756	736	236
757	737	235
758	738	234
759	738	233
760	739	232
761	740	231
762	740	230
763	741	228
764	742	227
765	742	226
766	743	225
767	744	224
768	744	223
769	745	222
770	746	221
771	747	220
772	747	219
773	748	218
774	749	217
775	750	216
776	750	215
777	751	214
778	752	213
779	753	212
780	753	211
781	754	210
782	755	209
783	756	208
784	756	207
785	758	206
786	758	205
787	759	204
788	760	203
789	761	202
790	762	201
791	762	200
792	763	199
793	764	198
794	764	197
795	765	196
796	766	195
797	767	194
798	767	193
799	768	192
800	769	191
801	769	190
802	770	189
803	771	187
804	771	186
805	772	185
806	773	184
807	773	183
808	774	182
809	775	181
810	775	180
811	776	179
812	777	178
813	777	177
814	789	179
815	790	178
816	790	177
817	791	176
818	792	175
819	793	174
820	793	173
821	794	172
822	795	171
823	796	170
824	797	169
825	798	168
826	798	167
827	799	166
828	800	165
829	800	164
830	801	163
831	802	162
832	803	161
833	804	160
834	805	159
835	806	158
836	806	157
837	807	156
838	808	155
839	808	154
840	809	153
841	810	152
842	811	151
843	811	150
844	812	149
845	813	148
846	814	147
847	814	146
848	815	145
849	816	144
850	817	143
851	818	142
852	818	141
853	819	140
854	820	139
855	821	138
856	821	137
857	822	136
858	823	135
859	823	134
860	824	133
861	825	132
862	826	131
863	826	130
864	827	129
865	828	128
866	828	127
867	829	126
868	830	125
869	831	124
870	831	123
871	832	122
872	833	121
873	834	120
874	834	119
875	835	118
876	836	117
877	836	116
878	837	115
879	838	114
880	839	113
881	839	112
882	840	111
883	841	110
884	841	109
885	842	108
886	843	107
887	843	106
888	844	105
889	845	104
890	845	103
891	846	102
892	847	101
893	848	100
894	848	99
895	849	98
896	850	97
897	850	96
898	851	95
899	851	94
900	852	93
901	853	92
902	854	91
903	854	90
904	855	89
905	856	88
906	857	87
907	858	86
908	858	85
909	859	84
910	860	84
911	860	83
912	861	82
913	862	81
914	863	80
915	864	79
916	865	78
917	865	77
918	866	76
919	867	75
920	868	74
921	868	73
922	869	72
923	870	71
924	871	70
925	872	69
926	873	68
927	873	67
928	874	66
929	875	65
930	876	64
931	876	63
932	877	63
933	878	62
934	879	61
935	879	60
936	880	59
937	881	58
938	881	57
939	882	56
940	883	55
941	884	54
942	885	53
943	886	52
944	887	51
945	887	50
946	888	49
947	889	48
948	890	47
949	890	46
950	891	45
951	892	45
952	893	44
953	894	43
954	894	42
955	895	41
956	896	40
957	896	39
958	897	38
959	898	37
960	898	36
961	899	35
962	900	34
963	901	33
964	901	32
965	902	31
966	903	30
967	903	29
968	904	28
969	905	27
970	905	27
971	906	26
972	907	25
973	908	24
974	908	23
975	909	22
976	910	21
977	911	20
978	911	19
979	912	18
980	913	17
981	914	16
982	914	15
983	915	14
984	916	13
985	917	13
986	917	12
987	918	11
988	919	10
989	920	9
990	920	8
991	921	7
992	922	6
993	923	5
994	923	4
995	924	3
996	925	2
997	926	1
998	926	0
999	927	0
